longitude,latitude,sentiment
-91.1402,30.4581,0
-74.0064,40.7142,0.36666666666666664
4.73333,7.61667,0.39999999999999997
-81.7464,28.5484,0
-74.0064,40.7142,0.13636363636363635
174.7657,-36.8473,0.13636363636363635
-2,54,0.41818181818181815
-74.0007613,40.7207559,0
-112.0777,33.4482,0.2
-111.883,40.75,0
113.4668,-0.8349,0.8125
-118.2445,34.0564,1.3877787807814457e-17
-80.18467,25.84344,0.6333333333333334
-76.9262,40.2411,0.4166666666666667
-97.80101,30.27443,0.13636363636363635
100.41180178,6.2762598,0.875
-122.27151,37.8008,-0.045
-157.73944,21.39722,-0.2916666666666667
-122.38769,37.75026,0
-115.149,36.1675,-0.625
-82.31955963,28.37730586,0
-79.7913,36.0731,0.1090909090909091
-116.2038,43.6141,-0.09999999999999998
-81.2664,28.8123,0.3111111111111111
-74.0064,40.7142,0.25
-122.38769,37.75026,0
-117.881,33.7407,0
-75.43620643,40.47425444,-0.1
-78.6349,35.7781,0.2
144.973,-37.8119,0
-76.99055389,38.88830525,-0.375
-71.40535602,42.08670044,0.3
-119.182,34.1913,0.47500000000000003
-118.2445,34.0564,0.2857142857142857
-0.07939436,51.47496745,0.2681818181818182
-73.7874,40.9149,0.13636363636363635
-76.9262,40.2411,-0.25
-117.1585,32.7155,0.4
-84.8844067,39.86458294,0
-70.1004,41.2815,0.5
-76.98355397,38.89575597,0.19999999999999998
-73.539006,41.056747,0.18668831168831168
-84.23552312,34.05754499,0.20833333333333334
-80.9319025,46.4916806,0.025
-78.8494,42.9047,-0.09777777777777778
-117.5655,33.8752,0.3
32.5811,0.3136,0
-100.43078363,25.67278783,0
-74.0064,40.7142,0.19166666666666668
-122.35694444,47.63722222,-0.44999999999999996
-76.09826192,36.77571603,0
-117.24031389,32.79782778,0
-117.912,33.665,0.640625
-79.7164011,43.7742911,-0.17500000000000002
-91.1402,30.4581,0.5
-74.3576,40.718,0.4041666666666667
-82.93154,40.12577,0.6328125
-122.675,45.5236111,0.2681818181818182
-86.38966899,35.8371667,0
-104.8223,39.7071,-0.75
-122.675,45.5236111,0
3.39583,6.45306,0.2
3.35004343,6.58125476,0.2
-117.214,32.7383,0.230952380952381
-118.378,34.1722,0
-75.12952737,40.11556478,0.2914285714285714
-118.3339186,34.08347674,0.8
-10.80574036,6.32007587,0.1375
-115.14282,36.09957,0
-79.3872,43.648,0
-82.45866,35.31557,0
-0.88977,52.76635,0.3033333333333333
144.9661,-37.8156,0
-92.2895948,34.7464809,0
-97.145401,32.88940048,0
-117.28774,33.03198,0
-122.675,45.5236111,0
-77.5,41,0.175
-118.34916667,34.05972222,0.17159090909090907
-2.9794,53.4078,0
-97.73549055,30.26585335,0.25
-97.48638003,35.31898421,0.35
-79.9975,40.4411,0
121.03494111,14.7003854,0.05000000000000002
-114.057,51.045,-0.1408333333333333
-88.1033,30.6795,0
-81.79936,36.15544,0.36250000000000004
-73.97956,40.81893,0
-82.451805,35.31531532,0.25999999999999995
-78.8494,42.9047,0.05909090909090908
-75.8509,45.3993,-0.052727272727272734
-118.33333333,34.1,-0.25
